id,originalName,technology,tag,standard
550,Class naming convention - case control,C++,** missing tag **,** missing standard **
552,Method naming convention - case control,C++,** missing tag **,** missing standard **
554,Constant naming convention - case control,C++,** missing tag **,** missing standard **
556,Macros naming convention - case control,C++,** missing tag **,** missing standard **
558,Data Members naming convention - case control,C++,** missing tag **,** missing standard **
562,File naming convention - embedded Class,C++,** missing tag **,** missing standard **
564,Avoid including files other than header files,C++,** missing tag **,** missing standard **
566,Avoid large Classes - too many Methods,C++,** missing tag **,** missing standard **
568,Avoid large Classes - too many Data Members,C++,** missing tag **,** missing standard **
570,Avoid large Interfaces - too many Methods,C++,** missing tag **,** missing standard **
576,Avoid large Classes - too many Constructors,C++,** missing tag **,** missing standard **
578,Avoid Classes with multiple inheritance,"C++, etc.",** missing tag **,** missing standard **
580,Avoid using Structures,C++,** missing tag **,** missing standard **
584,Avoid Classes with at least one virtual Function and without a virtual Destructor,C++,** missing tag **,** missing standard **
588,Avoid using Global Variables,C++,** missing tag **,** missing standard **
590,Avoid using global objects in Constructors and Destructors,C++,** missing tag **,** missing standard **
592,Ensure you provide a user-defined copy constructor or disable copy when a class allocates memory in its constructor,C++,** missing tag **,** missing standard **
610,Avoid circular references between header files,C++,** missing tag **,** missing standard **
620,Avoid base Classes without virtual Destructors,C++,** missing tag **,** missing standard **
628,Avoid invocation of virtual Methods of the declared Class in a Constructor or Destructor,C++,** missing tag **,** missing standard **
630,Avoid data members that are not private,C++,** missing tag **,** missing standard **
634,Avoid using VARIANT Structures,C++,** missing tag **,** missing standard **
678,Never throw an exception from a Destructor,"C++, etc.",** missing tag **,** missing standard **
1050,Static Functions naming conventions - case control,C,** missing tag **,** missing standard **
1052,Macros naming conventions - case control,C,** missing tag **,** missing standard **
1054,Types naming conventions - suffix control,C,** missing tag **,** missing standard **
1058,Avoid large Files - too many Lines of Code,"C++, etc.",** missing tag **,** missing standard **
1060,Avoid large Macros - too many Lines of Code,"C++, etc.",** missing tag **,** missing standard **
1066,Avoid implementation files that do not include a header file with the same name,"C++, etc.",** missing tag **,** missing standard **
1070,Avoid header files circular references,C,** missing tag **,** missing standard **
1072,Avoid using memory management Functions (free/malloc/realloc),"C++, etc.",** missing tag **,** missing standard **
1074,Avoid using signals management Functions,"C++, etc.",** missing tag **,** missing standard **
1078,Avoid undocumented Header files,"C++, etc.",** missing tag **,** missing standard **
1082,Avoid header files with a very low comment/code ratio,"C++, etc.",** missing tag **,** missing standard **
1084,Non static functions naming conventions - case control,C,** missing tag **,** missing standard **
1090,Avoid unreferenced Files,C,** missing tag **,** missing standard **
1092,Avoid undocumented Implementation files,"C++, etc.",** missing tag **,** missing standard **
1094,Avoid Implementation files with a very low comment/code ratio,"C++, etc.",** missing tag **,** missing standard **
1558,Package naming convention - prefix control,PL/SQL,** missing tag **,** missing standard **
1560,Package Function naming convention - prefix control,PL/SQL,** missing tag **,** missing standard **
1562,Package Stored Procedure naming convention - prefix control,PL/SQL,** missing tag **,** missing standard **
1564,Cursor naming convention - prefix control,PL/SQL,** missing tag **,** missing standard **
1574,Use at most one statement per line,"Forms, etc.",** missing tag **,** missing standard **
1576,Use varchar2 instead of char and varchar,PL/SQL,** missing tag **,** missing standard **
1578,Avoid using LONG & LONG RAW datatype for Table Columns,PL/SQL,** missing tag **,** missing standard **
1580,Avoid using execute immediate,"Forms, etc.",** missing tag **,** missing standard **
1582,Avoid large Tables - too many columns,PL/SQL,** missing tag **,** missing standard **
1588,Use WHEN OTHERS in exception management,"Forms, etc.",** missing tag **,** missing standard **
1596,"Avoid using ""nullable"" Columns except in the last position in a Table",PL/SQL,** missing tag **,** missing standard **
1598,Avoid Rule HINT /*+ rule */ or --+ rule in PL/SQL code,"Forms, etc.",** missing tag **,** missing standard **
1606,"Triggers should not directly modify tables, a procedure or function should be used instead","Forms, etc.",** missing tag **,** missing standard **
1608,Avoid cascading Triggers,"Forms, etc.",** missing tag **,** missing standard **
1634,Avoid unreferenced Tables,"DB2 Server, etc.",** missing tag **,** missing standard **
2230,Use of style sheets,JEE,** missing tag **,** missing standard **
2232,Pages should use error handling page,JEE,ASCRM-CWE-396,CISQ
2232,Pages should use error handling page,JEE,ASCRM-CWE-397,CISQ
2236,Avoid use of standard SQL API,JEE,** missing tag **,** missing standard **
2238,Avoid unreferenced JSPs and web client files,JEE,** missing tag **,** missing standard **
2242,Avoid direct definition of JavaScript Functions in a Web page,JEE,** missing tag **,** missing standard **
2244,Avoid undocumented Web Server Pages,JEE,** missing tag **,** missing standard **
2248,Avoid Web Server pages having a very low Comment/Code ratio,JEE,** missing tag **,** missing standard **
2254,Avoid large Page files,JEE,** missing tag **,** missing standard **
2258,All image files should be in a specific directory,JEE,** missing tag **,** missing standard **
2260,All script files should be in a specific directory,JEE,** missing tag **,** missing standard **
2262,All stylesheet files should be in a specific directory,JEE,** missing tag **,** missing standard **
2264,All page files should be in a specific directory,JEE,** missing tag **,** missing standard **
2266,Avoid non standard file extensions,JEE,** missing tag **,** missing standard **
2278,"Check the use of ""foreach"" custom tag library",JEE,** missing tag **,** missing standard **
2280,Avoid using Document.all collection,JEE,** missing tag **,** missing standard **
2282,Avoid large Include Files,JEE,** missing tag **,** missing standard **
2284,Avoid large JSP Pages - too many Scriptlets,JEE,** missing tag **,** missing standard **
2552,Event naming convention - case control,Visual Basic,** missing tag **,** missing standard **
2558,Method/Sub naming convention - case control,Visual Basic,** missing tag **,** missing standard **
2560,Property naming convention - case control,Visual Basic,** missing tag **,** missing standard **
2562,Avoid long Functions,Visual Basic,** missing tag **,** missing standard **
2564,Use a single Error Handling Method,Visual Basic,** missing tag **,** missing standard **
2572,Avoid declaring VB Variables without typing them,Visual Basic,** missing tag **,** missing standard **
2574,Avoid using Global Variables,Visual Basic,** missing tag **,** missing standard **
2576,Avoid Variables declared as Variants,Visual Basic,** missing tag **,** missing standard **
2580,Avoid use of Scripting.FileSystemObject,Visual Basic,** missing tag **,** missing standard **
2582,Use Option Explicit,Visual Basic,** missing tag **,** missing standard **
2584,Avoid using late binding,Visual Basic,** missing tag **,** missing standard **
2586,"Utilization of ""DoEvents"" inside a loop",Visual Basic,** missing tag **,** missing standard **
2588,Avoid declaring Class Variables without declaring access Properties,Visual Basic,** missing tag **,** missing standard **
2590,"Avoid using ""On error Resume Next"" in the Class event terminate",Visual Basic,** missing tag **,** missing standard **
2592,Encapsulation compliance,Visual Basic,** missing tag **,** missing standard **
2616,Avoid undocumented Forms,"Visual Basic, etc.",** missing tag **,** missing standard **
2618,Avoid Forms with a very low comment/code ratio,"Visual Basic, etc.",** missing tag **,** missing standard **
2620,Avoid undocumented Modules,"Visual Basic, etc.",** missing tag **,** missing standard **
2622,Avoid Modules with a very low comment/code ratio,"Visual Basic, etc.",** missing tag **,** missing standard **
2624,Avoid unreferenced Forms,"Visual Basic, etc.",** missing tag **,** missing standard **
2626,Avoid unreferenced Modules,"Visual Basic, etc.",** missing tag **,** missing standard **
3058,Use of style sheets,ASP,** missing tag **,** missing standard **
3060,Pages with less than 3 levels of inclusion,ASP,** missing tag **,** missing standard **
3062,Use of error handling page,ASP,** missing tag **,** missing standard **
3064,Avoid use of Session variables from Session_OnEnd,ASP,CROSS-SITE-VULNERABILITY,AIP
3066,Use of Web Classes,ASP,** missing tag **,** missing standard **
3070,Avoid non standard file extensions,ASP,** missing tag **,** missing standard **
3072,Consistent File full name and directory structure,ASP,** missing tag **,** missing standard **
3074,Index pages and global.asa must be located in the root directory,ASP,** missing tag **,** missing standard **
3076,Avoid using more than one scripting language in one page,ASP,** missing tag **,** missing standard **
3078,Avoid unreferenced code,ASP,** missing tag **,** missing standard **
